field_path,value,status,source_ids,source_locations,bicep_ref
target:scope,resourceGroup,confirmed,P-002,design/sample/detailed-design.md:1. デプロイ先 > table: デプロイスコープ,workflow:az_deploy.sh
target:subscriptionId,00000000-0000-0000-0000-000000000000,confirmed,P-001,design/sample/detailed-design.md:1. デプロイ先 > table: サブスクリプションID,workflow:az_deploy.sh
target:resourceGroup,rg-sample-web-dev,confirmed,P-003,design/sample/detailed-design.md:1. デプロイ先 > table: リソースグループ名,workflow:az_deploy.sh
target:location,japaneast,confirmed,P-004,design/sample/detailed-design.md:1. デプロイ先 > table: リージョン,main.bicepparam:location
tags:env,dev,confirmed,P-027,design/sample/detailed-design.md:6. タグ > env,main.bicepparam:tags
tags:system,sample-web,confirmed,P-028,design/sample/detailed-design.md:6. タグ > system,main.bicepparam:tags
R-001:sku.name,P1v3,confirmed,P-006,design/sample/detailed-design.md:2. リソース一覧 > No.1 App Service プラン > SKU / プラン,main.bicep:aspPlan
R-001:kind,linux,confirmed,P-007,design/sample/detailed-design.md:2. リソース一覧 > No.1 App Service プラン > 備考,main.bicep:aspPlan
R-002:serverFarmId,R-001,confirmed,P-009,design/sample/detailed-design.md:2. リソース一覧 > No.2 Web アプリ > SKU / プラン,main.bicep:webApp
R-002:properties.runtime,PYTHON|3.12,answered,P-010;P-032,design/sample/detailed-design.md:2. リソース一覧 > No.2 Web アプリ > 備考;design/sample/answers.md:## Q-004,main.bicepparam:webAppRuntime
R-002:properties.httpsOnly,true,confirmed,P-020,design/sample/detailed-design.md:4. セキュリティ > Web アプリ,main.bicepparam:webAppHttpsOnly
R-002:properties.minTlsVersion,TLS1_2,confirmed,P-021,design/sample/detailed-design.md:4. セキュリティ > Web アプリ,main.bicepparam:webAppMinTlsVersion
R-002:identity.type,SystemAssigned,confirmed,P-024,design/sample/detailed-design.md:4. セキュリティ > Web アプリ,main.bicepparam:webAppSystemAssignedId
R-002:properties.siteConfig.virtualNetworkSubnetId,R-004:properties.subnets[0],confirmed,P-018,design/sample/detailed-design.md:3. ネットワーク > サブネット snet-app,main.bicep:webApp
R-003:sku.name,Standard_LRS,confirmed,P-012,design/sample/detailed-design.md:2. リソース一覧 > No.3 ストレージアカウント > SKU / プラン,main.bicepparam:storageSku
R-003:kind,StorageV2,confirmed,P-013,design/sample/detailed-design.md:2. リソース一覧 > No.3 ストレージアカウント > 備考,main.bicepparam:storageKind
R-003:properties.minimumTlsVersion,TLS1_2,confirmed,P-022,design/sample/detailed-design.md:4. セキュリティ > ストレージアカウント,main.bicepparam:storageMinTlsVersion
R-003:properties.allowBlobPublicAccess,false,confirmed,P-023,design/sample/detailed-design.md:4. セキュリティ > ストレージアカウント,main.bicepparam:storageAllowBlobPublicAccess
R-003:properties.publicNetworkAccess,Disabled,confirmed,P-030,design/sample/detailed-design.md:3. ネットワーク,main.bicepparam:storagePublicNetworkAccess
R-004:properties.addressSpace.addressPrefixes,"[""10.10.0.0/16""]",confirmed,P-015,design/sample/detailed-design.md:2. リソース一覧 > No.4 仮想ネットワーク > 備考,main.bicepparam:vnetAddressPrefixes
R-004:properties.subnets[0].name,snet-app,confirmed,P-018,design/sample/detailed-design.md:3. ネットワーク > サブネット snet-app,main.bicepparam:snetAppName
R-004:properties.subnets[0].properties.addressPrefix,10.10.1.0/24,confirmed,P-018,design/sample/detailed-design.md:3. ネットワーク > サブネット snet-app,main.bicepparam:snetAppPrefix
R-004:properties.subnets[1].name,snet-pe,answered,P-031,design/sample/answers.md:## Q-001,main.bicepparam:snetPeName
R-004:properties.subnets[1].properties.addressPrefix,10.10.2.0/24,answered,P-031,design/sample/answers.md:## Q-001,main.bicepparam:snetPePrefix
R-005:properties.privateLinkServiceConnections[0].properties.privateLinkServiceId,R-003,confirmed,P-017,design/sample/detailed-design.md:2. リソース一覧 > No.5 プライベートエンドポイント > 備考,main.bicep:privateEndpoint
R-005:properties.subnet.id,R-004:properties.subnets[1],answered,P-031,design/sample/answers.md:## Q-001,main.bicep:privateEndpoint
R-006:zoneName,privatelink.blob.core.windows.net,confirmed,P-019,design/sample/detailed-design.md:3. ネットワーク > private DNS,main.bicepparam:privateDnsZoneName
R-006:links,R-004,confirmed,P-014,,main.bicep:vnet
R-007:properties.role,Storage Blob Data Contributor,confirmed,P-025,design/sample/detailed-design.md:5. RBAC > row 1,main.bicep:roleAssignStorage
R-007:properties.principal,R-002:identity,confirmed,P-024,design/sample/detailed-design.md:4. セキュリティ > Web アプリ,main.bicep:roleAssignStorage
R-007:properties.scope,R-003,confirmed,P-011,,main.bicep:roleAssignStorage
R-008:properties.role,Reader,confirmed,P-029,design/sample/detailed-design.md:5. RBAC > row 2,main.bicep:roleAssignReader
R-008:properties.principal,11111111-2222-3333-4444-555555555555,answered,P-026;P-033,design/sample/detailed-design.md:5. RBAC > row 2;design/sample/answers.md:## Q-006,main.bicepparam:readerPrincipalObjectId
R-008:properties.scope,target:resourceGroup,confirmed,P-003,design/sample/detailed-design.md:1. デプロイ先 > table: リソースグループ名,workflow:az_deploy.sh
